Numbers: 34000, pid: 8041 Space Used : 0 Time Stamp : 1533540015143
Time(microseconds): 404621.000000
Stats[(nil), 0]:     1404413715
Stats[(nil), 1]:     1404412916
Stats[(nil), 2]:            120
Stats[(nil), 3]:              1
Stats[(nil), 4]:              0
Stats[(nil), 5]:              0
Stats[(nil), 6]:           -nan
Stats[(nil), 7]:     1723690955
Stats[(nil), 8]:     3382180175
Stats[(nil), 9]:           -nan
Stats[(nil), 10]:           3838
Stats[(nil), 11]:      307600334
Stats[(nil), 12]:          39189
Stats[(nil), 13]:           -nan
Stats[(nil), 14]:        2950484
Stats[(nil), 15]:      125225101
Stats[(nil), 16]:           1699
Stats[(nil), 17]:        3063858
Stats[(nil), 18]:        7959411
Stats[(nil), 19]:          36229
Stats[(nil), 20]:           7308
Stats[(nil), 21]:            376
Stats[(nil), 22]:           7711
Stats[(nil), 23]:              0
Stats[(nil), 24]:              0
Stats[(nil), 25]:              0
Stats[(nil), 26]:           -nan
Stats[(nil), 27]:              0
Stats[(nil), 28]:              0
Stats[(nil), 29]:              0
Stats[(nil), 30]:              0
Stats[(nil), 31]:    1.410866490
