Numbers: 35000, pid: 11004 Space Used : 0 Time Stamp : 1533611212044
Time(microseconds): 491904.000000
Stats[(nil), 0]:     1491730707
Stats[(nil), 1]:     1491718391
Stats[(nil), 2]:            125
Stats[(nil), 3]:              0
Stats[(nil), 4]:              0
Stats[(nil), 5]:              0
Stats[(nil), 6]:           -nan
Stats[(nil), 7]:     1839174611
Stats[(nil), 8]:     3600782654
Stats[(nil), 9]:           -nan
Stats[(nil), 10]:          12070
Stats[(nil), 11]:      329082898
Stats[(nil), 12]:          42135
Stats[(nil), 13]:           -nan
Stats[(nil), 14]:        3193845
Stats[(nil), 15]:      132114849
Stats[(nil), 16]:           2228
Stats[(nil), 17]:        3133535
Stats[(nil), 18]:       34959883
Stats[(nil), 19]:          60726
Stats[(nil), 20]:          18381
Stats[(nil), 21]:           2259
Stats[(nil), 22]:          12994
Stats[(nil), 23]:              0
Stats[(nil), 24]:              0
Stats[(nil), 25]:              0
Stats[(nil), 26]:           -nan
Stats[(nil), 27]:              0
Stats[(nil), 28]:              0
Stats[(nil), 29]:              0
Stats[(nil), 30]:              0
Stats[(nil), 31]:    1.497970240
